,nomClass,time_video,c
918,particular,1179,2
919,particular,1185,4
920,particular,1186,4
921,particular,1187,1
922,particular,1191,1
923,particular,1192,5
924,particular,1193,1
925,particular,1195,2
926,particular,1196,2
927,particular,1197,1
928,particular,1198,4
929,particular,1199,1
930,particular,1200,4
931,particular,1201,3
932,particular,1202,4
933,particular,1203,1
934,particular,1204,2
935,particular,1205,1
936,particular,1206,2
937,particular,1207,3
938,particular,1208,2
939,particular,1209,1
940,particular,1210,3
941,particular,1213,1
942,particular,1214,2
943,particular,1215,1
944,particular,1216,1
945,particular,1217,4
946,particular,1218,1
947,particular,1219,1
948,particular,1221,2
949,particular,1222,1
950,particular,1223,2
951,particular,1224,2
952,particular,1225,1
953,particular,1227,1
954,particular,1229,1
955,particular,1231,4
956,particular,1232,1
957,particular,1233,1
958,particular,1235,1
959,particular,1236,3
960,particular,1237,2
961,particular,1238,4
962,particular,1239,2
963,particular,1240,2
964,particular,1241,3
965,particular,1244,2
966,particular,1245,2
967,particular,1246,1
968,particular,1247,2
969,particular,1248,2
970,particular,1249,1
971,particular,1250,1
972,particular,1251,1
973,particular,1252,1
974,particular,1253,2
975,particular,1255,5
976,particular,1256,1
977,particular,1257,1
978,particular,1258,2
979,particular,1259,3
980,particular,1260,2
981,particular,1261,2
982,particular,1262,3
983,particular,1263,1
984,particular,1265,1
985,particular,1266,1
986,particular,1269,1
987,particular,1270,1
988,particular,1272,2
989,particular,1273,1
990,particular,1275,1
991,particular,1276,1
992,particular,1279,1
993,particular,1284,1
994,particular,1287,1
995,particular,1293,1
996,particular,1295,1
997,particular,1298,1
998,particular,1300,1
999,particular,1301,1
1000,particular,1302,4
1001,particular,1303,1
1002,particular,1304,1
1003,particular,1306,2
1004,particular,1307,1
1005,particular,1309,2
1006,particular,1310,4
1007,particular,1312,2
1008,particular,1313,6
1009,particular,1316,1
1010,particular,1318,1
1011,particular,1319,1
1012,particular,1320,2
1013,particular,1321,3
1014,particular,1322,1
1015,particular,1323,2
1016,particular,1324,3
1017,particular,1325,3
1018,particular,1326,1
1019,particular,1327,3
1020,particular,1328,5
1021,particular,1329,3
1022,particular,1330,4
1023,particular,1331,1
1024,particular,1332,2
1025,particular,1333,2
1026,particular,1334,4
1027,particular,1335,2
1028,particular,1336,4
1029,particular,1337,1
1030,particular,1338,1
1031,particular,1339,1
1032,particular,1340,1
1033,particular,1341,1
1034,particular,1344,2
1035,particular,1345,1
1036,particular,1346,2
1037,particular,1348,2
1038,particular,1349,1
1039,particular,1351,1
1040,particular,1352,1
1041,particular,1353,2
1042,particular,1355,4
1043,particular,1357,1
1044,particular,1358,1
1045,particular,1359,2
1046,particular,1362,1
1047,particular,1364,2
1048,particular,1368,1
1049,particular,1371,1
1050,particular,1372,1
1051,particular,1373,1
1052,particular,1375,1
1053,particular,1376,2
1054,particular,1377,1
1055,particular,1378,1
1056,particular,1380,1
1057,particular,1381,1
1058,particular,1383,1
1059,particular,1389,2
1060,particular,1392,1
1061,particular,1393,1
1062,particular,1394,1
1063,particular,1395,1
1064,particular,1405,1
1065,particular,1415,1
1066,particular,1417,1
1067,particular,1418,1
1068,particular,1422,3
1069,particular,1423,1
1070,particular,1424,1
1071,particular,1425,4
1072,particular,1426,5
1073,particular,1428,2
1074,particular,1429,1
1075,particular,1430,4
1076,particular,1431,1
1077,particular,1432,3
1078,particular,1434,1
1079,particular,1435,3
1080,particular,1437,2
1081,particular,1438,2
1082,particular,1439,1
1083,particular,1443,1
1084,particular,1445,1
1085,particular,1451,1
1086,particular,1458,1
1087,particular,1459,1
1088,particular,1460,1
1089,particular,1461,2
1090,particular,1464,1
1091,particular,1465,2
1092,particular,1466,2
1093,particular,1467,3
1094,particular,1468,1
1095,particular,1469,1
1096,particular,1470,1
1097,particular,1471,5
1098,particular,1473,5
1099,particular,1474,1
1100,particular,1475,2
1101,particular,1476,4
1102,particular,1477,3
1103,particular,1478,2
1104,particular,1479,5
1105,particular,1480,2
1106,particular,1481,5
1107,particular,1482,4
1108,particular,1483,1
1109,particular,1484,4
1110,particular,1485,4
1111,particular,1486,1
1112,particular,1487,3
1113,particular,1488,3
1114,particular,1489,1
1115,particular,1490,1
1116,particular,1491,1
1117,particular,1492,3
1118,particular,1494,2
1119,particular,1495,4
1120,particular,1496,1
